Location,Data,Goal,Coordinates,Title,Category
India,Not specified,Biodiversity conservation,"20.593684, 78.962880","Potential for Artificial Intelligence (AI) and Machine Learning (ML) Applications in Biodiversity Conservation, Managing Forests, and Related Services in India",Habitat degradation and biodiversity monitoring
Not specified,Unmanned aerial vehicle imagery,Improving urban tree species classification,Not specified,Improving Artificial-Intelligence-Based Individual Tree Species Classification Using Pseudo Tree Crown Derived from Unmanned Aerial Vehicle Imagery,Tree species classification
Konya,Tree height and diameter data,Predicting relationships between individual tree height and diameter at breast height,"37.87159, 32.48454",Innovative deep learning artificial intelligence applications for predicting relationships between individual tree height and diameter at breast height,Tree species classification
Sweden,Airborne Laser Scanning data,Estimating stem volume and above-ground biomass,coordinates not specified,FOREST BIOPHYSICAL PARAMETER ESTIMATION VIA MACHINE LEARNING AND NEURAL NETWORK APPROACHES,Canopy and biomass estimation
Turkey,Measured tree height and diameter data,Predicting relationships between total tree height and diameter at breast height,"40.1826, 29.0668",Artificial intelligence with deep learning algorithms to model relationships between total tree height and diameter at breast height,Canopy and biomass estimation
Not specified,Drones,Monitoring threats and forest inventory,Not specified,Exploring artificial intelligence for applications of drones in forest ecology and management,Habitat degradation and biodiversity monitoring
Not specified,Remote sensing data,Monitoring forest productivity and degradation,Not specified,MULTI-PATH FUSION: A HIERARCHICAL MACHINE LEARNING APPROACH FOR COMBINING DIVERSE DATA SETS FOR A FOREST MONITORING NEW OBSERVING SYSTEM,Habitat degradation and biodiversity monitoring
Korean Peninsula,Remote sensing data,Mapping planted forests,"37.5665, 126.9783",Mapping Planted Forests in the Korean Peninsula Using Artificial Intelligence,Forest cover assessment
"Uttarakhand, India",Remote sensing data,Mapping forest fire susceptibility,"30.0668, 79.0193",Forest fire susceptibility mapping with sensitivity and uncertainty analysis using machine learning and deep learning algorithms,Forest fire monitoring and prevention
Not specified,Remote sensing data,Mapping forest attributes,"60.472024, 8.468945",FORESTMAP: MAPPING FOREST ATTRIBUTES ACROSS THE GLOBE - FIRST CASE STUDY,Forest cover assessment
Iran,Remote sensing data,Modeling the distribution of Persian oak forests,"32.00000, 53.00000",Modeling Climate Change Effects on the Distribution of Oak Forests with Machine Learning,Tree species classification
Not specified,Terrestrial laser scanning,Tree species classification,Not specified,See the forest and the trees: Effective machine and deep learning algorithms for wood filtering and tree species classification from terrestrial laser scanning,Tree species classification
"Utah, USA",Aerial imaging,Fire detection,"40.76078, -111.89105",Desert/Forest Fire Detection Using Machine/Deep Learning Techniques,Forest fire monitoring and prevention
"Bhitarkanika Wildlife Sanctuary, India",Sentinel-1 SAR coherence data,Estimating aboveground biomass,"20.33941, 86.86917",Aboveground biomass estimates of tropical mangrove forest using Sentinel-1 SAR coherence data - The superiority of deep learning over a semi-empirical model,Canopy and biomass estimation
Not specified,Satellite data,Improving forest detection,"0.0, 0.0",Improving forest detection with machine learning in remote sensing data,Forest cover assessment
Not specified,Airborne mobile mapping images,Tree species classification,Not specified,Tree species classification on images from airborne mobile mapping using ML.NET,Tree species classification
Finland,Satellite imagery,Mapping forest disturbance and height,"61.92411, 25.74815",SEMI-SUPERVISED DEEP LEARNING REPRESENTATIONS IN EARTH OBSERVATION BASED FOREST MANAGEMENT,Forest cover assessment
Not specified,UAV images,Tree species identification,Not specified,Automatic Identification of Tree Species from UAV Images Using Machine Learning Approaches,Tree species classification
Not specified,UAV images,Forest area classification,Not specified,Deep Learning Based Supervised Image Classification Using UAV Images for Forest Areas Classification,Tree species classification
USA,RGB images,Forest vegetation detection and classification,"37.09024, -95.71289",Forest Vegetation Detection Using Deep Learning Object Detection Models,Tree species classification
Nainital district,Remote sensing data,Predicting forest fire susceptibility,"29.3843, 79.5229",Exploring forest fire susceptibility and management strategies in Western Himalaya: Integrating ensemble machine learning and explainable AI for accurate prediction and comprehensive analysis,Forest fire monitoring and prevention
Not specified,"Satellite images, Digital Elevation Model",Predicting forest fire spread,Not specified,Forest Fire Spread Prediction using Deep Learning,Forest fire monitoring and prevention
Not specified,Satellite image time series,Mapping drivers of tropical forest loss,Not specified,Mapping drivers of tropical forest loss with satellite image time series and machine learning,Habitat degradation and biodiversity monitoring
"Jandouba, Tunisia",Meteorological signals,Forest fire risk prediction,"34.2904, 8.7613",ARTIFICIAL INTELLIGENCE OPTIMIZATION FOR FOREST FIRE RISK PREDICTING APPLIED TO GREEN ENVIRONMENT,Forest fire monitoring and prevention
Not specified,UAV-LiDAR,Estimating aboveground biomass,Not specified,Novel Features of Canopy Height Distribution for Aboveground Biomass Estimation Using Machine Learning: A Case Study in Natural Secondary Forests,Canopy and biomass estimation
Not specified,"High-resolution aerial, satellite, and ground-level images",Urban tree detection and geolocation,Not specified,"Implementing Deep Learning algorithms for urban tree detection and geolocation with high-resolution aerial, satellite, and ground-level images",Tree species classification
Finland,Satellite imagery,Predicting forest tree height,"61.8292, 24.1656",DEEP LEARNING MODELS IN FOREST MAPPING USING MULTITEMPORAL SAR AND OPTICAL SATELLITE DATA,Canopy and biomass estimation
"Rio de Janeiro, Brazil",Aerial photographs,Tree species mapping,"22.90685, -43.1729",Deep learning-based tree species mapping in a highly diverse tropical urban setting,Tree species classification
Madurai,Satellite imagery,Tree species identification,"9.9252, 78.1198",Automatic Identification of Tree Species From Sentinel-2A Images Using Band Combinations and Deep Learning,Tree species classification
South Korea,Satellite remote sensing data,Predicting gross primary productivity,"37.5665, 126.9783",An Artificial Intelligence Approach to Predict Gross Primary Productivity in the Forests of South Korea Using Satellite Remote Sensing Data,Canopy and biomass estimation
Not specified,TLS point clouds,Discriminating timber and leaf components,Not specified,Discrimination of Leaves in a Multi-Layered Mediterranean Forest through Machine Learning Algorithms,Tree species classification
Sultanate of Oman,Very high-resolution satellite imagery,Detecting trees and examining their health conditions,"23.584123, 58.407222",DEEP LEARNING TECHNIQUES ON VERY HIGH RESOLUTION IMAGES FOR DETECTING TREES AND THEIR HEALTH CONDITIONS,Tree species classification
Not specified,RGB optical images,Tree species classification,Not specified,UAV4TREE: DEEP LEARNING-BASED SYSTEM FOR AUTOMATIC CLASSIFICATION OF TREE SPECIES USING RGB OPTICAL IMAGES OBTAINED BY AN UNMANNED AERIAL VEHICLE,Tree species classification
"Porto Acre, Brazil",Dendrometric and climatic data,Estimating volume and biomass of commercial trees,"(-9.15719, -67.33571)",Machine Learning: Volume and Biomass Estimates of Commercial Trees in the Amazon Forest,Canopy and biomass estimation
Southern Brazil,Forest inventory data,Classifying successional stages,"-27.595372, -48.548037",Computer-aided classification of successional stage in subtropical Atlantic Forest: a proposal based on fuzzy artificial intelligence,Tree species classification
China,Hyperspectral satellite data,Tree species classification,"30.6524, 104.0633",Tree species classification using machine learning algorithms with OHS-2 hyperspectral image,Tree species classification
Not specified,Not specified,Species classification,Not specified,Application of machine-learning methods in forest ecology: recent progress and future challenges,Tree species classification
Not specified,Not specified,Tree segmentation,Not specified,Deep Learning-Based Segmentation of Intertwined Fruit Trees for Agricultural Tasks,Tree species classification
"Guangzhou Province, China",Aerial imagery,Automated detection of invasive species,"23.12911, 113.26436",Machine learning-based classification of woodland bitter vine (Mikania micrantha Kunth),Habitat degradation and biodiversity monitoring
Not specified,Not specified,Detecting disease-infected leaves on walnut trees,Not specified,A deep learning approach for anthracnose infected trees classification in walnut orchards,Tree species classification
Not specified,Aerial imagery,Evaluating forest biomass distribution and biodiversity,"0.0, 0.0",Unmanned aerial vehicle and artificial intelligence revolutionizing efficient and precision sustainable forest management,Canopy and biomass estimation
"Uttarakhand, India",Remote sensing data,Estimating aboveground biomass,"30.3139, 78.0322",Machine Learning Based Modeling for Forest Aboveground Biomass Retrieval,Canopy and biomass estimation
Central Amazon,LiDAR and deep learning,Detecting structural fingerprints based on topographical types,"-3.46533, -60.22467",Revealing forest structural fingerprints: An integration of LiDAR and deep learning uncovers topographical influences on Central Amazon forests,Canopy and biomass estimation
India,Remote sensing data,Assessing forest fire susceptibility,"20.2085, 85.8612","Integrating geospatial, remote sensing, and machine learning for climate-induced forest fire susceptibility mapping in Similipal Tiger Reserve, India",Forest fire monitoring and prevention
Switzerland,Aerial imagery,Mapping forest types,"46.81818, 8.22751",Mapping forest in the Swiss Alps treeline ecotone with explainable deep learning,Tree species classification
Brunei Darussalam,InSAR and LiDAR data,Estimating above-ground biomass,"4.5031, 114. berth101",Estimation of above-ground biomass using machine learning approaches with InSAR and LiDAR data in tropical peat swamp forest of Brunei Darussalam,Canopy and biomass estimation
Colombia,Digital cover photography,Estimating canopy attributes,"4.5709, -74.2973",Estimation of canopy attributes of wild cacao trees using digital cover photography and machine learning algorithms,Canopy and biomass estimation
Turkey,Geographical information system data,Mapping forest fire risk zones,"39.9334, 32.8597",Mapping the forest fire risk zones using artificial intelligence with risk factors data,Forest fire monitoring and prevention
Malaysia,Deep learning,Oil palm tree counting,"4.2105, 101.9758",Deep learning applications for oil palm tree detection and counting,Tree species classification
Viet Nam,Not specified,Predicting aboveground biomass,"14.0583, 108.2772",Deep learning models for improved reliability of tree aboveground biomass prediction in the tropical evergreen broadleaf forests,Canopy and biomass estimation
Brazil,Remote sensing data,Identifying invasive tree species,"−30.5595, −51.9253",Identification of invasive trees in a Brazilian subtropical forest using remotely piloted aircraft systems and machine learning,Tree species classification
Philippines,Sentinel-1 and Sentinel-2 data,Mapping land use and land cover changes,"12.8797, 121.7740",Deep learning U-Net classification of Sentinel-1 and 2 fusions effectively demarcates tropical montane forest's deforestation,Forest cover assessment
New Zealand,Aerial imagery,Tree species classification,"-40.900557, 174.885971",Deep Learning and Phenology Enhance Large-Scale Tree Species Classification in Aerial Imagery during a Biosecurity Response,Tree species classification
Turkey,Forest fire inventory data,Producing forest fire susceptibility maps,"36.90824, 31.15466","Machine learning based forest fire susceptibility assessment of Manavgat district (Antalya), Turkey",Forest fire monitoring and prevention
Not specified,Terrestrial laser scanning data,Tree species classification,Not specified,Tree species classification from complex laser scanning data in Mediterranean forests using deep learning,Tree species classification
Not specified,Remote sensing data,Forest-type classification,Not specified,Self-Organizing Deep Learning (SO-UNet)-A Novel Framework to Classify Urban and Peri-Urban Forests,Tree species classification
Northeast China,Satellite imagery,Mapping forest canopy height,"41.1575, 123.3685","High-resolution mapping of forest canopy height using machine learning by coupling ICESat-2 LiDAR with Sentinel-1, Sentinel-2 and Landsat-8 data",Canopy and biomass estimation
Nigeria,Tree height-diameter relationships,Estimating aboveground biomass,"9.082, 8.6753",Modelling height-diameter relationships in complex tropical rain forest ecosystems using deep learning algorithm,Canopy and biomass estimation
Not specified,Point cloud data,Tree species classification,Not specified,TREE SPECIES CLASSIFICATION OF POINT CLOUDS FROM DIFFERENT LASER SENSORS USING THE POINTNET plus plus DEEP LEARNING METHOD,Tree species classification
Not specified,Images,Forest fire detection,Not specified,Forest fire and smoke detection using deep learning-based learning without forgetting,Forest fire monitoring and prevention
"Gabon, Africa",Synthetic Aperture Radar (SAR),Estimating forest canopy height,"-0.80369, 11.60944",DEEP LEARNING FOR FOREST CANOPY HEIGHT ESTIMATION FROM SAR,Canopy and biomass estimation
Not specified,Spectral information,Improving genomic and phenomic prediction accuracy in tree breeding,Not specified,Integrating deep learning for phenomic and genomic predictive modeling of trees,Tree species classification
Not specified,Remote sensing data,Estimating forest above-ground biomass,Not specified,Improving Forest Above-Ground Biomass Estimation by Integrating Individual Machine Learning Models,Canopy and biomass estimation
Finnish Lapland,Multi-source satellite SAR and optical images,Predicting forest height,"67.25600, 25.01800",Deep Learning Model Transfer in Forest Mapping Using Multi-Source Satellite SAR and Optical Images,Canopy and biomass estimation
Not specified,3-D point clouds,Tree species classification,Not specified,Tree Classification in Complex Forest Point Clouds Based on Deep Learning,Tree species classification
Seoul,Google street view images,Tree species classification,"37.5665, 126.9783",An automatic approach for tree species detection and profile estimation of urban street trees using deep learning and Google street view images,Tree species classification
China,Satellite images,Characterizing forest types,"25.7617, 113.5040",Beyond tree cover: Characterizing southern China's forests using deep learning,Forest cover assessment
Not specified,Leaf senescence data,Predicting leaf senescence date,Not specified,Interpretable machine learning algorithms to predict leaf senescence date of deciduous trees,Tree species classification
Not specified,Machine learning models,Predicting tree failure probability,Not specified,Urban tree failure probability prediction based on dendrometric aspects and machine learning models,Tree species classification
"Tasmania, Australia",Remote sensing data,Mapping forest cover,"-42.8821, 147.3272",Nonparametric machine learning for mapping forest cover and exploring influential factors,Forest cover assessment
"NSW, Australia",Airborne laser scanning,Automated tree detection and segmentation,"-33.8688, 151.2093","Detection, Segmentation, and Model Fitting of Individual Tree Stems from Airborne Laser Scanning of Forests Using Deep Learning",Tree species classification
French Guiana,Remote sensing data,Tree crown delineation,"3.93389, -53.12578",DeepForest: A Python package for RGB deep learning tree crown delineation,Tree species classification
South Carolina,Forest fire data,Forest fire prediction,"33.836081, -80.945808",Forest Fire Prediction: A Spatial Machine Learning and Neural Network Approach,Forest fire monitoring and prevention
"Minas Gerais, Brazil",Environmental data,Modeling potential habitat distribution of tree species,"-18.5121, -44.2023",Machine learning algorithms for modeling the potential distribution habitat of tree species,Tree species classification
"Antalya, Turkiye",Forest fire inventory data,Forest fire susceptibility mapping,"36.89611, 30.71361","Comparison of diverse machine learning algorithms for forest fire susceptibility mapping in Antalya, Turkiye",Forest fire monitoring and prevention
Not specified,Remote sensing data,Classifying forest vertical structure,Not specified,Classification of Forest Vertical Structure Using Machine Learning Analysis,Canopy and biomass estimation
Brazil,Continuous forest inventories,Prognosis of forest production,"-14.2350, -51.9253",Prognosis of forest production using machine learning techniques,Canopy and biomass estimation
Not specified,Airborne LiDAR,Tree crown detection,"39.5501, -98.5839",Cross-site learning in deep learning RGB tree crown detection,Tree species classification
"Istanbul, Turkey",LiDAR,Tree species classification,"41.0082, 28.9784",The Use of Machine Learning Algorithms in Urban Tree Species Classification,Tree species classification
Southern China,Airborne LiDAR data,Estimating forest structural parameters,"23.000000, 113.000000",Deep Learning in Forest Structural Parameter Estimation Using Airborne LiDAR Data,Canopy and biomass estimation
