Location,Data,Goal,Coordinates,Title,Category,Data category
Not specified,Unmanned aerial vehicle imagery,Improving urban tree species classification,Not specified,Improving Artificial-Intelligence-Based Individual Tree Species Classification Using Pseudo Tree Crown Derived from Unmanned Aerial Vehicle Imagery,Tree species classification,Drone imagery
Konya,Tree height and diameter data,Predicting relationships between individual tree height and diameter at breast height,"37.87159, 32.48454",Innovative deep learning artificial intelligence applications for predicting relationships between individual tree height and diameter at breast height,Tree species classification,Animal or plant data
Sweden,Airborne Laser Scanning data,Estimating stem volume and above-ground biomass,coordinates not specified,FOREST BIOPHYSICAL PARAMETER ESTIMATION VIA MACHINE LEARNING AND NEURAL NETWORK APPROACHES,Canopy and biomass estimation,LiDAR
Turkey,Measured tree height and diameter data,Predicting relationships between total tree height and diameter at breast height,"40.1826, 29.0668",Artificial intelligence with deep learning algorithms to model relationships between total tree height and diameter at breast height,Canopy and biomass estimation,Animal or plant data
Not specified,Drones,Monitoring threats and forest inventory,Not specified,Exploring artificial intelligence for applications of drones in forest ecology and management,Habitat degradation and biodiversity monitoring,Drone imagery
Korean Peninsula,Remote sensing data,Mapping planted forests,"37.5665, 126.9783",Mapping Planted Forests in the Korean Peninsula Using Artificial Intelligence,Forest cover assessment,Satellite imagery or LiDAR
"Uttarakhand, India",Remote sensing data,Mapping forest fire susceptibility,"30.0668, 79.0193",Forest fire susceptibility mapping with sensitivity and uncertainty analysis using machine learning and deep learning algorithms,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Iran,Remote sensing data,Modeling the distribution of Persian oak forests,"32.00000, 53.00000",Modeling Climate Change Effects on the Distribution of Oak Forests with Machine Learning,Tree species classification,Satellite imagery or LiDAR
Not specified,Terrestrial laser scanning,Tree species classification,Not specified,See the forest and the trees: Effective machine and deep learning algorithms for wood filtering and tree species classification from terrestrial laser scanning,Tree species classification,LiDAR
"Utah, USA",Aerial imaging,Fire detection,"40.76078, -111.89105",Desert/Forest Fire Detection Using Machine/Deep Learning Techniques,Forest fire monitoring and prevention,Drone imagery
"Bhitarkanika Wildlife Sanctuary, India",Sentinel-1 SAR coherence data,Estimating aboveground biomass,"20.33941, 86.86917",Aboveground biomass estimates of tropical mangrove forest using Sentinel-1 SAR coherence data - The superiority of deep learning over a semi-empirical model,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Satellite data,Improving forest detection,"0.0, 0.0",Improving forest detection with machine learning in remote sensing data,Forest cover assessment,Satellite imagery or LiDAR
Not specified,Airborne mobile mapping images,Tree species classification,Not specified,Tree species classification on images from airborne mobile mapping using ML.NET,Tree species classification,Drone imagery
Finland,Satellite imagery,Mapping forest disturbance and height,"61.92411, 25.74815",SEMI-SUPERVISED DEEP LEARNING REPRESENTATIONS IN EARTH OBSERVATION BASED FOREST MANAGEMENT,Forest cover assessment,Satellite imagery
Not specified,UAV images,Tree species identification,Not specified,Automatic Identification of Tree Species from UAV Images Using Machine Learning Approaches,Tree species classification,Drone imagery
Not specified,UAV images,Forest area classification,Not specified,Deep Learning Based Supervised Image Classification Using UAV Images for Forest Areas Classification,Tree species classification,Drone imagery
USA,RGB images,Forest vegetation detection and classification,"37.09024, -95.71289",Forest Vegetation Detection Using Deep Learning Object Detection Models,Tree species classification,Ground-level photographs
Nainital district,Remote sensing data,Predicting forest fire susceptibility,"29.3843, 79.5229",Exploring forest fire susceptibility and management strategies in Western Himalaya: Integrating ensemble machine learning and explainable AI for accurate prediction and comprehensive analysis,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Not specified,"Satellite images, Digital Elevation Model",Predicting forest fire spread,Not specified,Forest Fire Spread Prediction using Deep Learning,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Not specified,Satellite image time series,Mapping drivers of tropical forest loss,Not specified,Mapping drivers of tropical forest loss with satellite image time series and machine learning,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Not specified,UAV-LiDAR,Estimating aboveground biomass,Not specified,Novel Features of Canopy Height Distribution for Aboveground Biomass Estimation Using Machine Learning: A Case Study in Natural Secondary Forests,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,"High-resolution aerial, satellite, and ground-level images",Urban tree detection and geolocation,Not specified,"Implementing Deep Learning algorithms for urban tree detection and geolocation with high-resolution aerial, satellite, and ground-level images",Tree species classification,Satellite imagery or LiDAR
Finland,Satellite imagery,Predicting forest tree height,"61.8292, 24.1656",DEEP LEARNING MODELS IN FOREST MAPPING USING MULTITEMPORAL SAR AND OPTICAL SATELLITE DATA,Canopy and biomass estimation,Satellite imagery
"Rio de Janeiro, Brazil",Aerial photographs,Tree species mapping,"22.90685, -43.1729",Deep learning-based tree species mapping in a highly diverse tropical urban setting,Tree species classification,Ground-level photographs
Madurai,Satellite imagery,Tree species identification,"9.9252, 78.1198",Automatic Identification of Tree Species From Sentinel-2A Images Using Band Combinations and Deep Learning,Tree species classification,Satellite imagery
South Korea,Satellite remote sensing data,Predicting gross primary productivity,"37.5665, 126.9783",An Artificial Intelligence Approach to Predict Gross Primary Productivity in the Forests of South Korea Using Satellite Remote Sensing Data,Canopy and biomass estimation,Satellite imagery or LiDAR
Sultanate of Oman,Very high-resolution satellite imagery,Detecting trees and examining their health conditions,"23.584123, 58.407222",DEEP LEARNING TECHNIQUES ON VERY HIGH RESOLUTION IMAGES FOR DETECTING TREES AND THEIR HEALTH CONDITIONS,Tree species classification,Satellite imagery or LiDAR
Not specified,RGB optical images,Tree species classification,Not specified,UAV4TREE: DEEP LEARNING-BASED SYSTEM FOR AUTOMATIC CLASSIFICATION OF TREE SPECIES USING RGB OPTICAL IMAGES OBTAINED BY AN UNMANNED AERIAL VEHICLE,Tree species classification,Drone imagery
China,Hyperspectral satellite data,Tree species classification,"30.6524, 104.0633",Tree species classification using machine learning algorithms with OHS-2 hyperspectral image,Tree species classification,Satellite imagery or LiDAR
"Guangzhou Province, China",Aerial imagery,Automated detection of invasive species,"23.12911, 113.26436",Machine learning-based classification of woodland bitter vine (Mikania micrantha Kunth),Habitat degradation and biodiversity monitoring,Drone imagery
Not specified,Aerial imagery,Evaluating forest biomass distribution and biodiversity,"0.0, 0.0",Unmanned aerial vehicle and artificial intelligence revolutionizing efficient and precision sustainable forest management,Canopy and biomass estimation,Drone imagery
"Uttarakhand, India",Remote sensing data,Estimating aboveground biomass,"30.3139, 78.0322",Machine Learning Based Modeling for Forest Aboveground Biomass Retrieval,Canopy and biomass estimation,Satellite imagery or LiDAR
Central Amazon,LiDAR and deep learning,Detecting structural fingerprints based on topographical types,"-3.46533, -60.22467",Revealing forest structural fingerprints: An integration of LiDAR and deep learning uncovers topographical influences on Central Amazon forests,Canopy and biomass estimation,Satellite imagery or LiDAR
India,Remote sensing data,Assessing forest fire susceptibility,"20.2085, 85.8612","Integrating geospatial, remote sensing, and machine learning for climate-induced forest fire susceptibility mapping in Similipal Tiger Reserve, India",Forest fire monitoring and prevention,Satellite imagery or LiDAR
Switzerland,Aerial imagery,Mapping forest types,"46.81818, 8.22751",Mapping forest in the Swiss Alps treeline ecotone with explainable deep learning,Tree species classification,Drone imagery
Brunei Darussalam,InSAR and LiDAR data,Estimating above-ground biomass,"4.5031, 114. berth101",Estimation of above-ground biomass using machine learning approaches with InSAR and LiDAR data in tropical peat swamp forest of Brunei Darussalam,Canopy and biomass estimation,Satellite imagery or LiDAR
Colombia,Digital cover photography,Estimating canopy attributes,"4.5709, -74.2973",Estimation of canopy attributes of wild cacao trees using digital cover photography and machine learning algorithms,Canopy and biomass estimation,Ground-level photographs
Brazil,Remote sensing data,Identifying invasive tree species,"−30.5595, −51.9253",Identification of invasive trees in a Brazilian subtropical forest using remotely piloted aircraft systems and machine learning,Tree species classification,Drone imagery
